model,model_map
-0.1039671525359153,813
-0.1020507290959358,814
-0.1001343056559562,815
-0.0982178747653961,816
-0.0963014513254165,817
-0.094385027885437,818
-0.0924686044454574,819
-0.0905521735548973,820
-0.0886357501149177,821
-0.0867193266749382,822
-0.084802895784378,823
-0.0828864723443985,824
-0.0809700489044189,825
-0.0790536180138588,826
-0.0771371945738792,827
-0.0752207711338996,828
-0.0733043402433395,829
-0.0713879168033599,830
-0.0694714933633804,831
-0.0675550624728202,832
-0.0656386390328407,833
-0.0637222155928611,834
-0.0618057884275913,835
-0.0598893612623214,836
-0.0579729340970516,837
-0.056056510657072,838
-0.0541400834918022,839
-0.0522236563265323,840
-0.0503072328865528,841
-0.0483908057212829,842
-0.0464743785560131,843
-0.0445579551160335,844
-0.0426415279507637,845
-0.0407251007854938,846
-0.0388086773455143,847
-0.0368922501802444,848
-0.0349758230149745,849
-0.033059399574995,850
-0.0311429724097251,851
-0.0292265471071004,852
-0.0273101218044757,853
-0.0253936946392059,854
-0.0234772693365812,855
-0.0215608440339565,856
-0.0196444187313318,857
-0.0177279915660619,858
-0.0158115662634372,859
-0.0138951400294899,860
-0.0119787147268652,861
-0.010062288492918,862
-0.0081458622589707,863
-0.006229436956346,864
-0.0043130107223987,865
-0.0023965849541127,866
-0.0004801591858267,867
0.0014362666988745,868
0.0033526925835758,869
0.0052691185846924,870
0.0071855443529784,871
0.0091019701212644,872
0.0110183963552117,873
0.0129348216578364,874
0.0148512478917837,875
0.0167676731944084,876
0.0186841003596782,877
0.0206005256623029,878
0.0225169509649276,879
0.0244333762675523,880
0.0263498034328222,881
0.0282662287354469,882
0.0301826540380716,883
0.0320990793406963,884
0.0340155065059661,885
0.035931933671236,886
0.0378483571112155,887
0.0397647842764854,888
0.0416812114417552,889
0.0435976348817348,890
0.0455140620470047,891
0.0474304892122745,892
0.0493469126522541,893
0.0512633398175239,894
0.0531797632575035,895
0.0550961904227733,896
0.0570126175880432,897
0.0589290410280227,898
0.0608454681932926,899
0.0627618953585624,900
0.064678318798542,901
0.0665947496891021,902
0.0685111731290817,903
0.0704275965690612,904
0.0723440200090408,905
0.0742604508996009,906
0.0761768743395805,907
0.07809329777956,908
0.0800097286701202,909
0.0819261521100997,910
0.0838425755500793,911
0.0857590064406395,912
0.087675429880619,913
0.0895918533205986,914
0.0915082842111587,915
0.0934247076511383,916
0.0953411310911178,917
0.097257561981678,918
0.0991739854216575,919
0.1010904088616371,920
0.1030068397521972,921
0.1049232631921768,922
0.1068396866321563,923
0.1087561175227165,924
0.110672540962696,925
0.1125889644026756,926
0.1145053952932357,927
0.1164218187332153,928
0.1183382421731948,929
0.120254673063755,930
0.1221710965037345,931
0.1240875199437141,932
0.1260039508342743,933
0.1279203742742538,934
0.1298367977142334,935
0.1317532211542129,936
0.1336696445941925,937
0.1355860829353332,938
0.1375025063753128,939
0.1394189298152923,940
0.1413353532552719,941
0.1432517766952514,942
0.145168200135231,943
0.1470846384763717,944
0.1490010619163513,945
0.1509174853563308,946
0.1528339087963104,947
